path,class,split,source
ml\data\processed\train\no_damage\synthetic_no_damage_00043.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00044.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00045.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00046.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00047.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00048.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00049.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00050.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00051.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00052.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00053.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00054.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00055.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00056.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00057.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00058.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00059.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00060.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00061.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00062.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00063.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00064.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00065.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00066.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00067.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00068.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00069.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00070.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00071.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00072.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00073.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00074.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00075.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00076.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00077.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00078.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00079.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00080.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00081.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00082.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00083.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00084.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00085.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00086.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00087.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00088.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00089.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00090.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00091.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00092.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00093.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00094.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00095.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00096.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00097.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00098.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00099.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00100.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00101.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00102.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00103.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00104.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00105.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00106.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00107.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00108.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00109.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00110.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00111.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00112.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00113.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00114.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00115.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00116.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00117.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00118.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00119.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00120.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00121.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00122.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00123.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00124.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00125.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00126.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00127.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00128.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00129.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00130.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00131.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00132.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00133.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00134.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00135.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00136.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00137.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00138.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00139.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00140.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00141.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00142.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00143.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00144.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00145.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00146.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00147.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00148.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00149.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00150.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00151.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00152.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00153.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00154.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00155.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00156.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00157.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00158.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00159.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00160.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00161.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00162.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00163.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00164.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00165.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00166.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00167.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00168.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00169.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00170.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00171.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00172.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00173.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00174.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00175.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00176.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00177.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00178.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00179.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00180.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00181.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00182.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00183.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00184.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00185.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00186.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00187.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00188.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00189.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00190.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00191.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00192.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00193.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00194.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00195.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00196.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00197.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00198.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00199.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00200.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00201.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00202.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00203.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00204.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00205.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00206.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00207.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00208.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00209.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00210.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00211.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00212.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00213.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00214.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00215.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00216.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00217.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00218.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00219.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00220.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00221.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00222.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00223.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00224.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00225.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00226.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00227.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00228.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00229.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00230.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00231.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00232.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00233.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00234.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00235.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00236.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00237.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00238.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00239.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00240.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00241.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00242.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00243.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00244.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00245.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00246.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00247.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00248.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00249.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00250.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00251.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00252.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00253.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00254.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00255.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00256.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00257.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00258.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00259.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00260.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00261.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00262.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00263.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00264.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00265.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00266.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00267.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00268.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00269.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00270.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00271.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00272.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00273.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00274.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00275.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00276.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00277.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00278.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00279.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00280.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00281.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00282.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00283.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00284.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00285.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00286.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00287.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00288.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00289.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00290.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00291.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00292.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00293.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00294.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00295.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00296.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00297.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00298.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00299.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00300.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00301.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00302.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00303.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00304.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00305.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00306.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00307.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00308.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00309.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00310.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00311.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00312.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00313.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00314.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00315.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00316.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00317.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00318.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00319.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00320.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00321.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00322.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00323.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00324.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00325.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00326.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00327.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00328.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00329.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00330.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00331.png,no_damage,train,synthetic
